Date;Municipio;ndvi_mean;;;;;
9/05/2001;TAME;5812,298474;;;;;
25/05/2001;ARAUCA;7356,262867;;;;;
25/05/2001;ARAUQUITA;7726,275518;;;;;
25/05/2001;CRAVO NORTE;6155,0618;;;;;
25/05/2001;FORTUL;3203,615454;;;;;
25/05/2001;PUERTO RONDON;7416,036445;;;;;
25/05/2001;SARAVENA;4765,147213;;;;;
25/05/2001;TAME;4907,398479;;;;;
10/06/2001;ARAUCA;4878,830973;;;;;
10/06/2001;ARAUQUITA;5574,503317;;;;;
10/06/2001;CRAVO NORTE;2886,414949;;;;;
10/06/2001;FORTUL;3692,008266;;;;;
10/06/2001;PUERTO RONDON;4382,313097;;;;;
10/06/2001;SARAVENA;5147,741841;;;;;
10/06/2001;TAME;3470,183206;;;;;
26/06/2001;ARAUCA;6372,290089;;;;;
26/06/2001;ARAUQUITA;6784,514189;;;;;
26/06/2001;CRAVO NORTE;5039,931082;;;;;
26/06/2001;FORTUL;4513,570971;;;;;
26/06/2001;PUERTO RONDON;5472,449219;;;;;
26/06/2001;SARAVENA;5995,517741;;;;;
26/06/2001;TAME;5746,767295;;;;;
12/07/2001;ARAUCA;7033,672882;;;;;
12/07/2001;ARAUQUITA;7934,046293;;;;;
12/07/2001;CRAVO NORTE;6124,033066;;;;;
12/07/2001;FORTUL;5309,587729;;;;;
12/07/2001;PUERTO RONDON;6888,82072;;;;;
12/07/2001;SARAVENA;7020,06917;;;;;
12/07/2001;TAME;6519,109188;;;;;
28/07/2001;ARAUCA;6433,21728;;;;;
28/07/2001;ARAUQUITA;5659,248858;;;;;
28/07/2001;CRAVO NORTE;5285,158907;;;;;
28/07/2001;FORTUL;3680,885161;;;;;
28/07/2001;PUERTO RONDON;6104,556944;;;;;
28/07/2001;SARAVENA;5310,626886;;;;;
28/07/2001;TAME;4421,349538;;;;;
13/08/2001;ARAUCA;6674,678086;;;;;
13/08/2001;ARAUQUITA;7546,524265;;;;;
13/08/2001;CRAVO NORTE;5828,879355;;;;;
13/08/2001;FORTUL;4113,614614;;;;;
13/08/2001;PUERTO RONDON;6404,513518;;;;;
13/08/2001;SARAVENA;5956,649247;;;;;
13/08/2001;TAME;6107,973919;;;;;
29/08/2001;ARAUCA;6400,418891;;;;;
29/08/2001;ARAUQUITA;7305,921576;;;;;
29/08/2001;CRAVO NORTE;5414,716654;;;;;
29/08/2001;FORTUL;5022,36778;;;;;
29/08/2001;PUERTO RONDON;6246,982351;;;;;
29/08/2001;SARAVENA;6963,600974;;;;;
29/08/2001;TAME;6261,782634;;;;;
14/09/2001;ARAUCA;6490,549118;;;;;
14/09/2001;ARAUQUITA;7606,666835;;;;;
14/09/2001;CRAVO NORTE;5723,997206;;;;;
14/09/2001;FORTUL;5067,12506;;;;;
14/09/2001;PUERTO RONDON;6423,955573;;;;;
14/09/2001;SARAVENA;6964,779014;;;;;
14/09/2001;TAME;5774,941773;;;;;
30/09/2001;ARAUCA;6583,189195;;;;;
30/09/2001;ARAUQUITA;7708,344388;;;;;
30/09/2001;CRAVO NORTE;5797,012271;;;;;
30/09/2001;FORTUL;5712,536556;;;;;
30/09/2001;PUERTO RONDON;6569,792447;;;;;
30/09/2001;SARAVENA;7542,03625;;;;;
30/09/2001;TAME;6369,001308;;;;;
16/10/2001;ARAUCA;6676,907877;;;;;
16/10/2001;ARAUQUITA;7800,801601;;;;;
16/10/2001;CRAVO NORTE;5717,70476;;;;;
16/10/2001;FORTUL;5090,052421;;;;;
16/10/2001;PUERTO RONDON;6192,988864;;;;;
16/10/2001;SARAVENA;7326,289515;;;;;
16/10/2001;TAME;6345,7258;;;;;
1/11/2001;ARAUCA;6929,762328;;;;;
1/11/2001;ARAUQUITA;7978,73;;;;;
1/11/2001;CRAVO NORTE;6236,506458;;;;;
1/11/2001;FORTUL;4910,08649;;;;;
1/11/2001;PUERTO RONDON;6763,028643;;;;;
1/11/2001;SARAVENA;7265,506432;;;;;
1/11/2001;TAME;6315,622038;;;;;
17/11/2001;ARAUCA;6985,489187;;;;;
17/11/2001;ARAUQUITA;7950,698502;;;;;
17/11/2001;CRAVO NORTE;6220,257522;;;;;
17/11/2001;FORTUL;5079,843271;;;;;
17/11/2001;PUERTO RONDON;6829,442791;;;;;
17/11/2001;SARAVENA;7117,684167;;;;;
17/11/2001;TAME;6271,583098;;;;;
3/12/2001;ARAUCA;6808,741807;;;;;
3/12/2001;ARAUQUITA;7940,365064;;;;;
3/12/2001;CRAVO NORTE;5983,080711;;;;;
3/12/2001;FORTUL;6069,668825;;;;;
3/12/2001;PUERTO RONDON;6766,316741;;;;;
3/12/2001;SARAVENA;7209,174952;;;;;
3/12/2001;TAME;6730,932741;;;;;
19/12/2001;ARAUCA;6897,210022;;;;;
19/12/2001;ARAUQUITA;7951,922375;;;;;
19/12/2001;CRAVO NORTE;6217,899414;;;;;
19/12/2001;FORTUL;7171,510591;;;;;
19/12/2001;PUERTO RONDON;6949,337598;;;;;
19/12/2001;SARAVENA;7751,490089;;;;;
19/12/2001;TAME;7551,887803;;;;;
1/01/2002;ARAUCA;6907,664214;;;;;
1/01/2002;ARAUQUITA;7980,080177;;;;;
1/01/2002;CRAVO NORTE;6267,309869;;;;;
1/01/2002;FORTUL;7378,626885;;;;;
1/01/2002;PUERTO RONDON;6915,572142;;;;;
1/01/2002;SARAVENA;7996,209048;;;;;
1/01/2002;TAME;7573,876444;;;;;
17/01/2002;ARAUCA;6614,202841;;;;;
17/01/2002;ARAUQUITA;7715,983887;;;;;
17/01/2002;CRAVO NORTE;6143,482044;;;;;
17/01/2002;FORTUL;5521,643684;;;;;
17/01/2002;PUERTO RONDON;6657,921772;;;;;
17/01/2002;SARAVENA;5155,403975;;;;;
17/01/2002;TAME;6656,422712;;;;;
2/02/2002;ARAUCA;5627,505166;;;;;
2/02/2002;ARAUQUITA;7221,267215;;;;;
2/02/2002;CRAVO NORTE;5594,788418;;;;;
2/02/2002;FORTUL;6700,20988;;;;;
2/02/2002;PUERTO RONDON;5946,566938;;;;;
2/02/2002;SARAVENA;7458,911952;;;;;
2/02/2002;TAME;6822,750713;;;;;
18/02/2002;ARAUCA;4927,40803;;;;;
18/02/2002;ARAUQUITA;7141,275944;;;;;
18/02/2002;CRAVO NORTE;4873,089601;;;;;
18/02/2002;FORTUL;5553,393966;;;;;
18/02/2002;PUERTO RONDON;5476,68079;;;;;
18/02/2002;SARAVENA;6889,09507;;;;;
18/02/2002;TAME;6548,367416;;;;;
6/03/2002;ARAUCA;4387,431466;;;;;
6/03/2002;ARAUQUITA;6699,118146;;;;;
6/03/2002;CRAVO NORTE;4302,246202;;;;;
6/03/2002;FORTUL;4653,88018;;;;;
6/03/2002;PUERTO RONDON;4863,333405;;;;;
6/03/2002;SARAVENA;5548,44006;;;;;
6/03/2002;TAME;5652,140672;;;;;
22/03/2002;ARAUCA;3491,347105;;;;;
22/03/2002;ARAUQUITA;2777,982661;;;;;
22/03/2002;CRAVO NORTE;4355,193589;;;;;
22/03/2002;FORTUL;483,6769765;;;;;
22/03/2002;PUERTO RONDON;2046,654028;;;;;
22/03/2002;SARAVENA;474,8821334;;;;;
22/03/2002;TAME;2020,828261;;;;;
7/04/2002;ARAUCA;5913,29589;;;;;
7/04/2002;ARAUQUITA;7701,163261;;;;;
7/04/2002;CRAVO NORTE;5800,320631;;;;;
7/04/2002;FORTUL;4366,049867;;;;;
7/04/2002;PUERTO RONDON;6436,288732;;;;;
7/04/2002;SARAVENA;6704,851528;;;;;
7/04/2002;TAME;5782,557388;;;;;
23/04/2002;ARAUCA;6574,546385;;;;;
23/04/2002;ARAUQUITA;7374,285598;;;;;
23/04/2002;CRAVO NORTE;6079,287779;;;;;
23/04/2002;FORTUL;5221,518624;;;;;
23/04/2002;PUERTO RONDON;6711,528225;;;;;
23/04/2002;SARAVENA;7230,19419;;;;;
23/04/2002;TAME;5675,654133;;;;;
9/05/2002;ARAUCA;6895,764217;;;;;
9/05/2002;ARAUQUITA;7436,423258;;;;;
9/05/2002;CRAVO NORTE;6353,827457;;;;;
9/05/2002;FORTUL;3887,938682;;;;;
9/05/2002;PUERTO RONDON;7007,504123;;;;;
9/05/2002;SARAVENA;5489,825811;;;;;
9/05/2002;TAME;5286,88437;;;;;
25/05/2002;ARAUCA;6214,095691;;;;;
25/05/2002;ARAUQUITA;7375,17486;;;;;
25/05/2002;CRAVO NORTE;5633,584472;;;;;
25/05/2002;FORTUL;4533,623667;;;;;
25/05/2002;PUERTO RONDON;6710,922143;;;;;
25/05/2002;SARAVENA;6762,037571;;;;;
25/05/2002;TAME;5628,590721;;;;;
10/06/2002;ARAUCA;6237,89998;;;;;
10/06/2002;ARAUQUITA;7422,933913;;;;;
10/06/2002;CRAVO NORTE;5167,060158;;;;;
10/06/2002;FORTUL;4274,73619;;;;;
10/06/2002;PUERTO RONDON;6432,368679;;;;;
10/06/2002;SARAVENA;6453,278014;;;;;
10/06/2002;TAME;5813,703316;;;;;
26/06/2002;ARAUCA;5548,046546;;;;;
26/06/2002;ARAUQUITA;5939,85879;;;;;
26/06/2002;CRAVO NORTE;4650,928172;;;;;
26/06/2002;FORTUL;3131,637291;;;;;
26/06/2002;PUERTO RONDON;5209,485544;;;;;
26/06/2002;SARAVENA;5144,012023;;;;;
26/06/2002;TAME;4855,54977;;;;;
12/07/2002;ARAUCA;6197,55775;;;;;
12/07/2002;ARAUQUITA;7504,430257;;;;;
12/07/2002;CRAVO NORTE;5287,392784;;;;;
12/07/2002;FORTUL;4879,941503;;;;;
12/07/2002;PUERTO RONDON;6238,629458;;;;;
12/07/2002;SARAVENA;6788,968943;;;;;
12/07/2002;TAME;6333,352918;;;;;
28/07/2002;ARAUCA;6774,341832;;;;;
28/07/2002;ARAUQUITA;7813,678467;;;;;
28/07/2002;CRAVO NORTE;5637,534163;;;;;
28/07/2002;FORTUL;5106,634301;;;;;
28/07/2002;PUERTO RONDON;6730,276708;;;;;
28/07/2002;SARAVENA;7088,809199;;;;;
28/07/2002;TAME;6330,207018;;;;;
13/08/2002;ARAUCA;6443,750195;;;;;
13/08/2002;ARAUQUITA;6195,386182;;;;;
13/08/2002;CRAVO NORTE;5302,221202;;;;;
13/08/2002;FORTUL;4209,709953;;;;;
13/08/2002;PUERTO RONDON;6089,614913;;;;;
13/08/2002;SARAVENA;5202,285704;;;;;
13/08/2002;TAME;5719,668243;;;;;
29/08/2002;ARAUCA;6582,136083;;;;;
29/08/2002;ARAUQUITA;7427,001275;;;;;
29/08/2002;CRAVO NORTE;5550,08112;;;;;
