formatted_date;temperature_2m; temperature_2m_min; temperature_2m_max;total_precipitation_sum;surface_pressure
16/07/1950;293,1032573;289,927005;297,5962302;0,012012595;90657,13064
17/07/1950;292,3740072;290,2783755;295,9677102;0,028058617;90659,13389
18/07/1950;292,4672774;290,4015872;296,4002483;0,018169771;90518,28322
19/07/1950;292,4142723;290,4669319;295,721111;0,024720128;90508,50846
20/07/1950;292,6560426;290,1121505;297,0469137;0,010723812;90570,19009
21/07/1950;293,0271038;290,6096329;297,1900671;0,012189416;90508,23624
22/07/1950;293,0975101;290,6585783;296,9785103;0,028013479;90348,0443
23/07/1950;292,9632625;290,2369008;297,2924145;0,0173152;90348,45424
24/07/1950;293,5682105;290,5539398;298,525564;0,012307466;90423,73951
25/07/1950;293,5109122;290,3977795;298,1540944;0,010981779;90432,63047
26/07/1950;293,4256955;290,9904986;297,3134246;0,009492578;90529,21862
27/07/1950;293,7353791;291,0480101;298,3086796;0,010684524;90520,65069
28/07/1950;293,5305102;290,0362001;298,3644838;0,011129357;90467,88298
29/07/1950;293,3774164;290,902843;297,722098;0,019085373;90425,20349
30/07/1950;293,1739729;290,8628213;296,7396448;0,0190167;90404,68124
31/07/1950;293,5929585;290,7959238;298,0634621;0,014376685;90406,18624
1/08/1950;293,3596225;290,8390023;297,5166516;0,013344143;90480,86999
2/08/1950;292,9907896;290,8305827;296,7814077;0,016224852;90574,42203
3/08/1950;293,0822985;290,5341966;296,9552633;0,01625881;90592,42687
4/08/1950;293,5862137;291,1697005;297,8874756;0,014115;90531,43908
5/08/1950;293,4672701;290,8122554;297,4706905;0,014570871;90563,17334
6/08/1950;293,3969831;290,9337546;297,2492486;0,015773045;90549,54484
7/08/1950;293,2917077;290,9321048;297,1016255;0,01389898;90505,62891
8/08/1950;293,4375691;290,9460817;297,4571049;0,015849925;90490,45051
9/08/1950;293,4901718;290,7512453;297,6229065;0,010125644;90495,60696
10/08/1950;293,5012132;290,8248864;297,7117145;0,019036841;90463,89192
11/08/1950;293,2480874;291,3874534;296,7504374;0,027624261;90488,91651
12/08/1950;293,2062244;291,0833129;296,6923718;0,01217999;90470,32298
13/08/1950;293,3499239;290,5538088;297,5575995;0,009053839;90433,48072
14/08/1950;293,2382724;290,821114;297,1651232;0,016160124;90401,28093
15/08/1950;293,143845;290,609483;297,2653343;0,013910495;90434,82436
16/08/1950;292,781845;290,5775079;296,2944971;0,013933262;90561,86338
17/08/1950;292,8101054;290,3780899;296,9500797;0,013130643;90548,27537
18/08/1950;293,2143253;290,1458922;297,847979;0,011342035;90438,97181
19/08/1950;292,8699855;290,8190465;296,0083105;0,020302427;90481,74979
20/08/1950;293,1598645;289,9652798;297,7698543;0,006021898;90474,26918
21/08/1950;293,2967625;290,7468119;297,2338729;0,007660564;90416,17115
22/08/1950;293,2578721;290,3784958;297,6734876;0,014447555;90406,74738
23/08/1950;293,179591;290,8057809;297,1650981;0,017999419;90432,7011
24/08/1950;292,9747831;290,7721581;296,7586365;0,015001175;90457,84664
25/08/1950;293,0608369;290,5205929;297,3656489;0,011130204;90424,7495
26/08/1950;292,9707513;291,111336;296,4821545;0,023582889;90453,49435
27/08/1950;292,9230923;290,6966454;296,3855217;0,021140809;90474,22171
28/08/1950;292,8548363;291,0518681;295,9289565;0,016283845;90535,36076
29/08/1950;293,0533861;290,3268507;297,3485012;0,009800313;90523,62523
30/08/1950;293,3358364;290,2195489;298,0092034;0,009908689;90493,384
31/08/1950;293,6170346;290,5056582;298,2837934;0,010418175;90513,62359
1/09/1950;293,7311695;291,0508095;298,101483;0,013486048;90438,0202
2/09/1950;293,564776;290,6606478;298,292844;0,010321471;90397,72954
3/09/1950;293,9671673;291,0399305;298,209747;0,009080362;90465,54099
4/09/1950;293,7773265;291,4093673;297,4864424;0,009096291;90545,84232
5/09/1950;293,7049605;290,9170455;297,3615479;0,008552196;90503,80053
6/09/1950;293,193024;291,1020141;296,1905959;0,021545443;90504,1921
7/09/1950;293,2225272;290,7313814;297,3503115;0,013040152;90502,21971
8/09/1950;293,1230388;291,1198212;296,9368683;0,015528767;90510,82442
9/09/1950;293,5576867;291,3523183;297,3574438;0,014430256;90431,8829
10/09/1950;294,2836916;291,7637988;298,4180598;0,005357977;90314,09129
11/09/1950;294,4159919;291,5483207;298,7971919;0,00807002;90291,19288
12/09/1950;293,937432;291,1046952;298,0673707;0,017882597;90415,62418
13/09/1950;294,344709;290,843948;299,2160874;0,004478531;90456,97834
14/09/1950;294,6460023;291,1354476;299,412184;0,009215562;90460,25425
15/09/1950;293,7199174;291,0267112;297,7463647;0,023845225;90501,96193
16/09/1950;294,3032764;291,2834658;299,157404;0,011185112;90485,29633
17/09/1950;293,6979709;291,3394673;297,9666572;0,016346014;90579,03047
18/09/1950;293,8970844;290,7516754;298,4823358;0,013488223;90492,17434
19/09/1950;293,5689059;291,2615563;297,1043356;0,012884652;90488,57061
20/09/1950;293,2422764;290,8722026;296,9594115;0,012692306;90502,90474
21/09/1950;293,6702409;290,5371413;298,5345529;0,007239574;90486,07697
22/09/1950;294,0149269;291,1860984;298,5763887;0,010807635;90503,16581
23/09/1950;293,9598709;291,4391756;297,7619213;0,019544107;90513,47297
24/09/1950;293,5188704;290,901835;297,1101607;0,017171351;90546,18403
25/09/1950;293,1217702;291,2250064;296,031804;0,018042899;90450,12225
26/09/1950;292,6785519;290,9215764;295,8960024;0,018545211;90477,91556
27/09/1950;292,0511737;290,5211595;294,5644123;0,029468208;90517,25797
28/09/1950;292,7065422;290,2827919;296,6518602;0,012025406;90565,20161
29/09/1950;293,5225435;290,0543515;298,5164909;0,008260427;90530,45865
30/09/1950;293,3207694;291,0207562;297,2351044;0,024284539;90518,96118
1/10/1950;293,1078415;291,0066622;297,283335;0,020640888;90523,22017
2/10/1950;293,1634907;290,1731353;297,7395762;0,013817439;90663,55068
3/10/1950;293,2510461;290,8168102;297,5103718;0,017960472;90680,93476
4/10/1950;293,3938066;290,8138159;297,6498532;0,012931388;90576,69218
5/10/1950;293,0664814;290,8100223;297,1016668;0,017426692;90580,88174
6/10/1950;293,2479412;290,1321111;297,8646147;0,006592367;90555,18741
7/10/1950;292,8051203;290,6580675;295,7970908;0,011570749;90519,04778
8/10/1950;292,2568659;290,117943;295,5109467;0,027208613;90567,65477
9/10/1950;292,289292;290,3167675;295,1892962;0,025387747;90606,67678
10/10/1950;292,5432761;290,6013955;296,2045935;0,016927414;90573,72077
11/10/1950;292,3308961;290,6683629;295,5228743;0,022984713;90494,12427
12/10/1950;292,4643784;289,8134435;296,6304136;0,013393119;90497,11876
13/10/1950;292,4690199;290,1607306;295,991935;0,014751694;90502,88565
14/10/1950;293,0615636;290,4878659;297,1170563;0,009297635;90447,61049
15/10/1950;292,9157436;290,3268524;296,9146195;0,014833903;90413,87115
16/10/1950;292,4270268;290,176843;296,1945999;0,01771909;90432,2546
17/10/1950;292,4145398;290,0408598;296,2322778;0,014692144;90489,661
18/10/1950;292,2282923;290,4532687;295,2354042;0,023205597;90525,14172
19/10/1950;292,2448656;290,0711667;296,0430412;0,016739472;90491,19123
20/10/1950;292,3762482;290,424892;295,7117711;0,01304783;90408,40618
21/10/1950;292,9534894;289,990566;297,5773526;0,009189209;90377,69271
22/10/1950;293,0538524;290,9163031;296,8595546;0,01412195;90388,77477
23/10/1950;292,6750099;290,6453445;295,4504355;0,017691171;90447,31251
24/10/1950;292,8558176;290,4046836;297,0440469;0,015223753;90451,7424
25/10/1950;292,6223844;290,0267683;296,5756392;0,014617968;90426,36216
26/10/1950;293,0206231;290,6390541;297,134901;0,012141637;90374,90185
