formatted_date;temperature_2m; total_precipitation_sum
4/09/1950;293,7773265;0,009484998
5/09/1950;293,7049605;0,008412234
6/09/1950;293,193024;0,021794474
7/09/1950;293,2225272;0,012776391
8/09/1950;293,1230388;0,014998754
9/09/1950;293,5576867;0,014984917
10/09/1950;294,2836916;0,005530863
11/09/1950;294,4159919;0,007301837
12/09/1950;293,937432;0,018618973
13/09/1950;294,344709;0,004582657
14/09/1950;294,6460023;0,008349225
15/09/1950;293,7199174;0,024761078
16/09/1950;294,3032764;0,010466809
17/09/1950;293,6979709;0,016603073
18/09/1950;293,8970844;0,013242966
19/09/1950;293,5689059;0,013372259
20/09/1950;293,2422764;0,012607291
21/09/1950;293,6702409;0,0070661
22/09/1950;294,0149269;0,010537166
23/09/1950;293,9598709;0,019538096
24/09/1950;293,5188704;0,017496214
25/09/1950;293,1217702;0,018077526
26/09/1950;292,6785519;0,017888029
27/09/1950;292,0511737;0,029863196
28/09/1950;292,7065422;0,012473953
29/09/1950;293,5225435;0,007615668
30/09/1950;293,3207694;0,0239765
1/10/1950;293,1078415;0,021173593
2/10/1950;293,1634907;0,013235647
3/10/1950;293,2510461;0,01843861
4/10/1950;293,3938066;0,013156625
5/10/1950;293,0664814;0,017369844
6/10/1950;293,2479412;0,00669804
7/10/1950;292,8051203;0,011775958
8/10/1950;292,2568659;0,02629032
9/10/1950;292,289292;0,026213401
10/10/1950;292,5432761;0,016508601
11/10/1950;292,3308961;0,02304519
12/10/1950;292,4643784;0,01348898
13/10/1950;292,4690199;0,015136388
14/10/1950;293,0615636;0,00908267
15/10/1950;292,9157436;0,014987793
16/10/1950;292,4270268;0,017271785
17/10/1950;292,4145398;0,014911323
18/10/1950;292,2282923;0,0228167
19/10/1950;292,2448656;0,017420397
20/10/1950;292,3762482;0,012897559
21/10/1950;292,9534894;0,009087277
22/10/1950;293,0538524;0,013786238
23/10/1950;292,6750099;0,017884583
24/10/1950;292,8558176;0,014847815
25/10/1950;292,6223844;0,014932751
26/10/1950;293,0206231;0,012308247
27/10/1950;292,8816115;0,014312496
28/10/1950;292,8867484;0,010184503
29/10/1950;292,5655521;0,021952899
30/10/1950;292,8535218;0,01416337
