formatted_date;temperature_2m_min; temperature_2m_max
18/09/1950;290,7516754;298,4823358
19/09/1950;291,2615563;297,1043356
20/09/1950;290,8722026;296,9594115
21/09/1950;290,5371413;298,5345529
22/09/1950;291,1860984;298,5763887
23/09/1950;291,4391756;297,7619213
24/09/1950;290,901835;297,1101607
25/09/1950;291,2250064;296,031804
26/09/1950;290,9215764;295,8960024
27/09/1950;290,5211595;294,5644123
28/09/1950;290,2827919;296,6518602
29/09/1950;290,0543515;298,5164909
30/09/1950;291,0207562;297,2351044
1/10/1950;291,0066622;297,283335
2/10/1950;290,1731353;297,7395762
3/10/1950;290,8168102;297,5103718
4/10/1950;290,8138159;297,6498532
5/10/1950;290,8100223;297,1016668
6/10/1950;290,1321111;297,8646147
7/10/1950;290,6580675;295,7970908
8/10/1950;290,117943;295,5109467
9/10/1950;290,3167675;295,1892962
10/10/1950;290,6013955;296,2045935
11/10/1950;290,6683629;295,5228743
12/10/1950;289,8134435;296,6304136
13/10/1950;290,1607306;295,991935
14/10/1950;290,4878659;297,1170563
15/10/1950;290,3268524;296,9146195
16/10/1950;290,176843;296,1945999
17/10/1950;290,0408598;296,2322778
18/10/1950;290,4532687;295,2354042
19/10/1950;290,0711667;296,0430412
20/10/1950;290,424892;295,7117711
21/10/1950;289,990566;297,5773526
22/10/1950;290,9163031;296,8595546
23/10/1950;290,6453445;295,4504355
24/10/1950;290,4046836;297,0440469
25/10/1950;290,0267683;296,5756392
26/10/1950;290,6390541;297,134901
27/10/1950;290,6351499;296,3881181
28/10/1950;290,4895561;296,779824
29/10/1950;290,7596553;295,7005792
30/10/1950;290,6804431;296,4617785
31/10/1950;290,1791446;297,4869394
1/11/1950;291,1813105;297,2245942
2/11/1950;290,5593757;297,2019443
3/11/1950;291,0001768;296,8811082
4/11/1950;291,1248565;295,3150866
5/11/1950;290,7201485;295,3963909
6/11/1950;290,1202746;296,3137865
7/11/1950;290,2471201;295,3213754
8/11/1950;290,4441972;296,3570771
9/11/1950;290,5378572;296,7438664
10/11/1950;290,5162005;297,1008688
11/11/1950;291,3311385;296,9619944
12/11/1950;291,0079494;295,9899855
13/11/1950;290,5488889;295,7146037
14/11/1950;290,8418464;295,7073671
15/11/1950;290,7229454;294,6092337
16/11/1950;289,9820225;296,377066
17/11/1950;290,2085234;294,5708488
18/11/1950;290,0986672;295,447547
19/11/1950;289,7624514;296,7252318
20/11/1950;289,8084497;297,2667076
21/11/1950;290,4847334;295,8329812
22/11/1950;289,918454;296,31355
23/11/1950;290,4999005;296,5747453
24/11/1950;290,5795119;296,9658847
25/11/1950;291,1140709;294,8735158
26/11/1950;289,9142171;294,1684008
27/11/1950;289,7038167;295,184276
28/11/1950;290,3450228;295,215263
29/11/1950;290,3889968;295,2386166
30/11/1950;290,1754182;295,8256612
1/12/1950;289,9863772;296,7021672
2/12/1950;289,9589304;297,5964844
3/12/1950;290,6768698;296,9242492
4/12/1950;290,638021;295,4675812
5/12/1950;290,4836943;296,1366295
6/12/1950;290,4630936;296,3619788
7/12/1950;290,9716916;294,7670852
8/12/1950;290,6157972;297,0514547
9/12/1950;291,394915;295,6749783
